2	20	x120	38
2	13	-1	38
2	16	x119	38
2	31	-1	38
2	28	x118	38
2	35	-1	38
2	59	x117	38
2	57	-1	38
2	56	x116	38
2	53	-1	38
2	50	x115	38
2	2	-1	38
2	52	x114	38
2	17	-1	38
2	58	x113	38
2	21	-1	38
2	46	x112	38
2	8	-1	38
2	40	x111	38
2	10	-1	38
2	48	x110	38
2	5	-1	38
2	44	x109	38
2	24	-1	38
2	42	x108	38
2	18	-1	38
2	36	x107	38
2	30	-1	38
2	34	x106	38
2	32	-1	38
2	38	x105	38
1	5	-1	38
1	26	x104	38
1	42	-1	38
1	28	x103	38
1	9	-1	38
1	20	x102	38
1	58	-1	38
1	24	x101	38
1	13	-1	38
1	22	x100	38
1	7	-1	38
1	2	x99	38
1	3	-1	38
1	48	x98	38
1	32	-1	38
1	0	x97	38
1	34	-1	38
1	36	x96	38
1	46	-1	38
1	16	x95	38
1	44	-1	38
1	18	x94	38
1	56	-1	38
1	38	x93	38
1	43	-1	38
1	30	x92	38
1	59	-1	38
1	14	x91	38
1	54	-1	38
1	-1	-1	38
1	53	-1	38
1	-1	-1	38
1	17	-1	38
1	-1	-1	38
1	37	-1	38
1	-1	-1	38
1	11	-1	38
1	-1	-1	38
1	51	-1	38
1	-1	-1	38
1	27	-1	38
1	-1	-1	38
1	60	-1	38
1	-1	-1	38
1	25	-1	38
1	-1	-1	38
1	55	-1	38
1	-1	-1	38
1	39	-1	38
1	-1	-1	38
1	19	-1	38
1	-1	-1	38
1	15	-1	38
1	-1	-1	38
1	49	-1	38
1	-1	-1	38
1	31	-1	38
1	-1	-1	38
1	29	-1	38
1	-1	-1	38
1	1	-1	38
1	-1	-1	38
1	35	-1	38
1	-1	-1	38
1	41	-1	38
1	-1	-1	38
1	33	-1	38
1	-1	-1	38
1	6	-1	38
1	-1	-1	38
1	12	-1	38
1	-1	-1	38
1	4	-1	38
1	40	-1	38
1	23	-1	38
1	52	-1	38
1	10	-1	38
1	50	-1	38
1	47	-1	38
1	45	-1	38
1	21	-1	38
1	57	-1	38
1	8	-1	38
2	3	x136	24
2	45	-1	24
2	11	x137	24
2	47	-1	24
2	22	x138	24
2	54	-1	24
2	4	x139	24
2	41	-1	24
2	12	x140	24
2	43	-1	24
2	23	x141	24
2	33	-1	24
2	19	x142	24
2	39	-1	24
2	15	x143	24
2	37	-1	24
2	14	x144	24
2	6	-1	24
2	60	x145	24
2	9	-1	24
2	0	x146	24
2	25	-1	24
2	26	x147	24
2	29	-1	24
2	49	x148	24
2	7	-1	24
2	55	x149	24
2	1	-1	24
2	51	x150	24
2	27	-1	24
2	20	x151	24
2	13	-1	24
2	16	x152	24
2	31	-1	24
2	28	x153	24
2	35	-1	24
2	59	x154	24
2	57	-1	24
2	56	x155	24
2	53	-1	24
2	50	x156	24
2	2	-1	24
2	52	x157	24
2	17	-1	24
2	58	x158	24
2	21	-1	24
2	46	x159	24
2	8	-1	24
2	40	x160	24
2	10	-1	24
2	48	x161	24
2	5	-1	24
2	44	x162	24
2	24	-1	24
2	42	x163	24
2	18	-1	24
2	36	x164	24
2	30	-1	24
2	34	x165	24
2	32	-1	24
2	38	x166	24
1	5	-1	24
1	26	x167	24
1	42	-1	24
1	28	x168	24
1	9	-1	24
1	20	x169	24
1	58	-1	24
1	24	x170	24
1	13	-1	24
1	22	x171	24
1	7	-1	24
1	2	x172	24
1	3	-1	24
1	48	x173	24
1	32	-1	24
1	0	x174	24
1	34	-1	24
1	36	x175	24
1	46	-1	24
1	16	x176	24
1	44	-1	24
1	18	x177	24
1	56	-1	24
1	38	x178	24
1	43	-1	24
1	30	x179	24
1	59	-1	24
1	14	x180	24
1	54	-1	24
1	-1	-1	24
1	53	-1	24
1	-1	-1	24
1	17	-1	24
1	-1	-1	24
1	37	-1	24
1	-1	-1	24
1	11	-1	24
1	-1	-1	24
1	51	-1	24
1	-1	-1	24
1	27	-1	24
1	-1	-1	24
1	60	-1	24
1	-1	-1	24
1	25	-1	24
1	-1	-1	24
1	55	-1	24
1	-1	-1	24
1	39	-1	24
1	-1	-1	24
1	19	-1	24
1	-1	-1	24
1	15	-1	24
1	-1	-1	24
1	49	-1	24
1	-1	-1	24
1	31	-1	24
1	-1	-1	24
1	29	-1	24
1	-1	-1	24
1	1	-1	24
1	-1	-1	24
1	35	-1	24
1	-1	-1	24
1	41	-1	24
1	-1	-1	24
1	33	-1	24
1	-1	-1	24
1	6	-1	24
1	-1	-1	24
1	12	-1	24
1	-1	-1	24
1	4	-1	24
1	40	-1	24
1	23	-1	24
1	52	-1	24
1	10	-1	24
1	50	-1	24
1	47	-1	24
1	45	-1	24
1	21	-1	24
1	57	-1	24
1	8	-1	24
2	3	x225	39
2	45	-1	39
2	11	x224	39
2	47	-1	39
2	22	x223	39
2	54	-1	39
2	4	x222	39
2	41	-1	39
2	12	x221	39
2	43	-1	39
2	23	x220	39
2	33	-1	39
2	19	x219	39
2	39	-1	39
2	15	x218	39
2	37	-1	39
2	14	x217	39
2	6	-1	39
2	60	x216	39
2	9	-1	39
2	0	x215	39
2	25	-1	39
2	26	x214	39
2	29	-1	39
2	49	x213	39
2	7	-1	39
2	55	x212	39
2	1	-1	39
2	51	x211	39
2	27	-1	39
2	20	x210	39
2	13	-1	39
2	16	x209	39
2	31	-1	39
2	28	x208	39
2	35	-1	39
2	59	x207	39
2	57	-1	39
2	56	x206	39
2	53	-1	39
2	50	x205	39
2	2	-1	39
2	52	x204	39
2	17	-1	39
2	58	x203	39
2	21	-1	39
2	46	x202	39
2	8	-1	39
2	40	x201	39
2	10	-1	39
2	48	x200	39
2	5	-1	39
2	44	x199	39
2	24	-1	39
2	42	x198	39
2	18	-1	39
2	36	x197	39
2	30	-1	39
2	34	x196	39
2	32	-1	39
2	38	x195	39
1	5	-1	39
1	26	x194	39
1	42	-1	39
1	28	x193	39
1	9	-1	39
1	20	x192	39
1	58	-1	39
1	24	x191	39
1	13	-1	39
1	22	x190	39
1	7	-1	39
1	2	x189	39
1	3	-1	39
1	48	x188	39
1	32	-1	39
1	0	x187	39
1	34	-1	39
1	36	x186	39
1	46	-1	39
1	16	x185	39
1	44	-1	39
1	18	x184	39
1	56	-1	39
1	38	x183	39
1	43	-1	39
1	30	x182	39
1	59	-1	39
1	14	x181	39
1	54	-1	39
1	-1	-1	39
1	53	-1	39
1	-1	-1	39
1	17	-1	39
1	-1	-1	39
1	37	-1	39
1	-1	-1	39
1	11	-1	39
1	-1	-1	39
1	51	-1	39
